rank,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,popularity
1,The Box,Roddy Ricch,melodic rap,2019,117,59,90,-7,79,64,197,10,6,99
2,Dance Monkey,Tones And I,australian pop,2019,98,59,82,-6,15,51,209,69,9,97
3,Say So,Doja Cat,la indie,2019,111,67,79,-5,9,79,238,26,16,96
4,ROXANNE,Arizona Zervas,pop rap,2019,117,60,62,-6,46,46,164,5,15,96
5,death bed (coffee for your head) (feat. beabadoobee),Powfu,bedroom pop,2020,144,43,73,-9,70,35,173,73,14,95
6,Circles,Post Malone,dfw rap,2019,120,76,70,-3,9,55,215,19,4,95
7,Sunday Best,Surfaces,bedroom soul,2019,112,53,88,-7,7,69,159,18,6,94
8,Life Is Good (feat. Drake),Future,atl hip hop,2020,142,61,68,-6,15,51,238,7,48,94
9,Godzilla (feat. Juice WRLD),Eminem,detroit hip hop,2020,166,75,81,-5,29,83,211,14,34,94
10,everything i wanted,Billie Eilish,electropop,2019,120,23,70,-14,11,24,245,90,10,94
11,Someone You Loved,Lewis Capaldi,pop,2019,110,41,50,-6,11,45,182,75,3,93
12,Safaera,Bad Bunny,latin,2020,96,83,61,-4,11,69,295,1,38,93
13,Supalonely,BENEE,nz pop,2019,129,63,86,-5,12,82,223,31,5,91
14,Intentions (feat. Quavo),Justin Bieber,canadian pop,2020,148,55,81,-7,10,87,213,30,6,90
15,High Fashion (feat. Mustard),Roddy Ricch,melodic rap,2019,98,50,83,-8,30,51,220,27,11,90
16,hot girl bummer,blackbear,pop,2019,130,56,78,-7,40,68,185,13,8,90
17,In Your Eyes,The Weeknd,canadian contemporary r&b,2020,100,72,67,-5,7,72,238,0,3,89
18,Lucid Dreams,Juice WRLD,chicago rap,2018,84,57,51,-7,34,22,240,35,20,89
19,Suicidal,YNW Melly,melodic rap,2019,140,37,74,-10,13,24,223,33,7,89
20,Yo Perreo Sola,Bad Bunny,latin,2020,97,76,86,-5,34,45,172,2,7,89
21,P2,Lil Uzi Vert,melodic rap,2020,155,72,78,-5,11,49,235,2,19,88
22,Ballin' (with Roddy Ricch),Mustard,cali rap,2019,97,55,81,-7,15,24,180,39,7,88
23,BOP,DaBaby,nc hip hop,2019,127,79,77,-4,13,84,160,19,37,88
24,CITY OF ANGELS,24kGoldn,cali rap,2019,120,54,69,-5,7,72,112,4,5,88
25,Adore You,Harry Styles,pop,2019,99,77,68,-4,10,57,207,2,5,87
26,Bandit (with YoungBoy Never Broke Again),Juice WRLD,chicago rap,2019,180,63,47,-6,13,43,189,7,34,87
27,Blinding Lights,The Weeknd,canadian contemporary r&b,2020,171,73,51,-6,9,33,200,0,6,86
28,Go Stupid,Polo G,chicago rap,2020,141,83,92,-3,6,65,166,3,25,86
29,WHATS POPPIN,Jack Harlow,deep underground hip hop,2020,145,60,92,-7,27,83,140,2,25,85
30,Myron,Lil Uzi Vert,melodic rap,2020,155,66,77,-7,22,58,225,5,30,85
31,Baby Pluto,Lil Uzi Vert,melodic rap,2020,160,63,77,-6,43,67,210,14,21,85
32,Savage,Megan Thee Stallion,houston rap,2020,169,74,84,-6,10,68,155,3,33,84
33,Suicidal (Remix) [feat. Juice WRLD],YNW Melly,melodic rap,2020,140,44,66,-5,10,27,226,47,6,84
34,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),Lil Yachty,atl hip hop,2020,138,62,84,-4,32,87,207,17,5,84
35,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,2019,90,52,76,-4,7,93,158,53,6,84
36,Save Your Tears,The Weeknd,canadian contemporary r&b,2020,118,83,68,-5,54,64,216,2,3,84
37,Lo Mein,Lil Uzi Vert,melodic rap,2020,133,68,86,-6,14,51,195,9,33,84
38,After Hours,The Weeknd,canadian contemporary r&b,2020,109,57,66,-6,12,14,361,8,3,83
39,Heartless,The Weeknd,canadian contemporary r&b,2020,170,75,54,-6,16,25,198,2,15,83
40,Blueberry Faygo,Lil Mosey,melodic rap,2020,99,55,77,-8,13,35,163,21,4,82
41,Roses - Imanbek Remix,SAINt JHN,melodic rap,2019,122,72,78,-5,28,90,176,1,5,82
42,PTSD,G Herbo,chicago drill,2020,119,81,88,-3,21,81,232,3,18,82
43,Walk Em Down (feat. Roddy Ricch),NLE Choppa,memphis hip hop,2020,84,74,87,-5,7,65,173,27,23,81
44,That Way - Bonus Track,Lil Uzi Vert,melodic rap,2020,130,60,71,-5,15,50,212,6,4,80
45,Turks (feat. Travis Scott),NAV,canadian hip hop,2020,119,59,89,-4,71,44,161,9,14,77
46,Break My Heart,Dua Lipa,dance pop,2020,113,73,73,-3,35,47,222,17,9,76
47,BELIEVE IT,PARTYNEXTDOOR,hip hop,2020,158,70,43,-5,22,73,183,9,26,76
48,Don't Start Now,Dua Lipa,dance pop,2020,124,79,79,-5,10,68,183,1,8,73
49,Physical,Dua Lipa,dance pop,2020,147,84,65,-4,10,75,194,1,5,73
50,Falling,Trevor Daniel,alternative r&b,2020,127,43,78,-9,9,24,159,12,4,61
