rank,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,popularity
1,The Box,Roddy Ricch,melodic rap,2019,117,59,90,-7,79,64,197,10,6,99
2,Dance Monkey,Tones And I,australian pop,2019,98,59,82,-6,15,51,209,69,9,97
3,Say So,Doja Cat,la indie,2019,111,67,79,-5,9,79,238,26,16,96
4,Tusa,KAROL G,latin,2019,101,72,80,-3,6,57,201,30,30,96
5,ROXANNE,Arizona Zervas,pop rap,2019,117,60,62,-6,46,46,164,5,15,96
6,death bed (coffee for your head) (feat. beabadoobee),Powfu,bedroom pop,2020,144,43,73,-9,70,35,173,73,14,95
7,Circles,Post Malone,dfw rap,2019,120,76,70,-3,9,55,215,19,4,95
8,Sunday Best,Surfaces,bedroom soul,2019,112,53,88,-7,7,69,159,18,6,94
9,La Difícil,Bad Bunny,latin,2020,180,85,69,-5,8,76,163,9,9,94
10,Memories,Maroon 5,pop,2019,91,32,76,-7,8,57,189,84,5,94
11,Godzilla (feat. Juice WRLD),Eminem,detroit hip hop,2020,166,75,81,-5,29,83,211,14,34,94
12,everything i wanted,Billie Eilish,electropop,2019,120,23,70,-14,11,24,245,90,10,94
13,Life Is Good (feat. Drake),Future,atl hip hop,2020,142,61,68,-6,15,51,238,7,48,94
14,Safaera,Bad Bunny,latin,2020,96,83,61,-4,11,69,295,1,38,93
15,Someone You Loved,Lewis Capaldi,pop,2019,110,41,50,-6,11,45,182,75,3,93
16,Si Veo a Tu Mamá,Bad Bunny,latin,2020,130,60,90,-5,13,82,171,40,6,93
17,bad guy,Billie Eilish,electropop,2019,135,43,70,-11,10,56,194,33,38,93
18,Supalonely,BENEE,nz pop,2019,129,63,86,-5,12,82,223,31,5,91
19,Sigues Con El,Dimelo Flow,latin,2019,88,67,88,-3,7,68,227,11,11,91
20,La Santa,Bad Bunny,latin,2020,93,87,74,-5,8,59,206,3,5,91
21,Intentions (feat. Quavo),Justin Bieber,canadian pop,2020,148,55,81,-7,10,87,213,30,6,90
22,In Your Eyes,The Weeknd,canadian contemporary r&b,2020,100,72,67,-5,7,72,238,0,3,89
23,Yo Perreo Sola,Bad Bunny,latin,2020,97,76,86,-5,34,45,172,2,7,89
24,Ignorantes,Bad Bunny,latin,2020,96,54,85,-5,10,51,211,27,6,88
25,Tattoo,Rauw Alejandro,latin,2020,194,62,76,-5,6,75,203,2,18,88
26,Adore You,Harry Styles,pop,2019,99,77,68,-4,10,57,207,2,5,87
27,Boss Bitch,Doja Cat,la indie,2020,126,96,71,-5,20,57,134,13,22,87
28,Blinding Lights,The Weeknd,canadian contemporary r&b,2020,171,73,51,-6,9,33,200,0,6,86
29,Amarillo,J Balvin,latin,2020,123,86,64,-6,7,96,158,1,30,86
30,Vete,Bad Bunny,latin,2020,92,67,89,-4,10,53,192,4,19,86
31,WHATS POPPIN,Jack Harlow,deep underground hip hop,2020,145,60,92,-7,27,83,140,2,25,85
32,Savage,Megan Thee Stallion,houston rap,2020,169,74,84,-6,10,68,155,3,33,84
33,Before You Go,Lewis Capaldi,pop,2019,112,57,46,-5,9,18,215,60,6,84
34,Yummy,Justin Bieber,canadian pop,2020,146,51,68,-7,12,50,209,35,10,84
35,Señorita,Shawn Mendes,canadian pop,2019,117,55,76,-6,8,75,191,4,3,84
36,After Hours,The Weeknd,canadian contemporary r&b,2020,109,57,66,-6,12,14,361,8,3,83
37,Heartless,The Weeknd,canadian contemporary r&b,2020,170,75,54,-6,16,25,198,2,15,83
38,Roses - Imanbek Remix,SAINt JHN,melodic rap,2019,122,72,78,-5,28,90,176,1,5,82
39,Blueberry Faygo,Lil Mosey,melodic rap,2020,99,55,77,-8,13,35,163,21,4,82
40,Rojo,J Balvin,latin,2020,172,60,66,-4,9,40,151,19,17,80
41,Morado,J Balvin,latin,2020,97,68,89,-4,9,78,200,13,8,79
42,Turks (feat. Travis Scott),NAV,canadian hip hop,2020,119,59,89,-4,71,44,161,9,14,77
43,Break My Heart,Dua Lipa,dance pop,2020,113,73,73,-3,35,47,222,17,9,76
44,BELIEVE IT,PARTYNEXTDOOR,hip hop,2020,158,70,43,-5,22,73,183,9,26,76
45,Levitating,Dua Lipa,dance pop,2020,103,88,70,-2,21,91,204,5,8,75
46,Like It Is,Kygo,edm,2020,105,73,79,-7,23,36,183,12,11,74
47,Hallucinate,Dua Lipa,dance pop,2020,122,69,63,-5,7,63,209,3,14,74
48,Don't Start Now,Dua Lipa,dance pop,2020,124,79,79,-5,10,68,183,1,8,73
49,Physical,Dua Lipa,dance pop,2020,147,84,65,-4,10,75,194,1,5,73
50,Falling,Trevor Daniel,alternative r&b,2020,127,43,78,-9,9,24,159,12,4,61
